Triangle,Class,Latitude,Longitude,GT_w1,GT_w2,GT_w3,CKKS_w1,CKKS_w2,CKKS_w3,Δw1,Δw2,Δw3,GT_Class,CKKS_Class
T1 (Default),INSIDE,19.169112618207755,72.95687635680477,0.0833854670,0.3053363414,0.6112781916,0.0833854781,0.3053363823,0.6112782736,0.0000000111,0.0000000409,0.0000000820,INSIDE,INSIDE
T1 (Default),INSIDE,19.176331402671824,72.95212995030022,0.5065790697,0.2665961531,0.2268247772,0.5065791376,0.2665961889,0.2268248076,0.0000000679,0.0000000358,0.0000000304,INSIDE,INSIDE
T1 (Default),INSIDE,19.179951122365974,72.96987072728909,0.0901596391,0.8649539997,0.0448863612,0.0901596512,0.8649541157,0.0448863672,0.0000000121,0.0000001160,0.0000000060,INSIDE,INSIDE
T1 (Default),INSIDE,19.17534725307576,72.96072779311123,0.2004834155,0.5159958219,0.2835207627,0.2004834424,0.5159958911,0.2835208007,0.0000000269,0.0000000692,0.0000000380,INSIDE,INSIDE
T1 (Default),INSIDE,19.177934228347954,72.94694470546406,0.7296171901,0.1311457158,0.1392370940,0.7296172880,0.1311457334,0.1392371127,0.0000000979,0.0000000176,0.0000000187,INSIDE,INSIDE
T1 (Default),INSIDE,19.175386326984835,72.9521110353237,0.4711798300,0.2520080660,0.2768121040,0.4711798932,0.2520080998,0.2768121412,0.0000000632,0.0000000338,0.0000000372,INSIDE,INSIDE
T1 (Default),INSIDE,19.180218372842948,72.97269971347387,0.0119526312,0.9557755407,0.0322718280,0.0119526328,0.9557756689,0.0322718324,0.0000000016,0.0000001282,0.0000000044,INSIDE,INSIDE
T1 (Default),INSIDE,19.168412327593224,72.9563273183326,0.0738704286,0.2780995210,0.6480300504,0.0738704385,0.2780995583,0.6480301373,0.0000000099,0.0000000373,0.0000000869,INSIDE,INSIDE
T1 (Default),INSIDE,19.177850184902404,72.95765509854901,0.3917980106,0.4587494422,0.1494525472,0.3917980632,0.4587495037,0.1494525673,0.0000000526,0.0000000615,0.0000000201,INSIDE,INSIDE
T1 (Default),INSIDE,19.17828571956228,72.94262302853889,0.8780222780,0.0036635587,0.1183141633,0.8780223958,0.0036635591,0.1183141792,0.0000001178,0.0000000004,0.0000000159,INSIDE,INSIDE
T1 (Default),INSIDE,19.166526311593643,72.9559794166124,0.0129168256,0.2394642687,0.7476189056,0.0129168274,0.2394643008,0.7476190059,0.0000000018,0.0000000321,0.0000001003,INSIDE,INSIDE
T1 (Default),INSIDE,19.172198358755097,72.95665438853419,0.2078308685,0.3442560146,0.4479131169,0.2078308964,0.3442560607,0.4479131770,0.0000000279,0.0000000461,0.0000000601,INSIDE,INSIDE
T1 (Default),INSIDE,19.176248786152442,72.95526161956585,0.4055919410,0.3615256918,0.2328823671,0.4055919954,0.3615257403,0.2328823984,0.0000000544,0.0000000485,0.0000000313,INSIDE,INSIDE
T1 (Default),INSIDE,19.179257678420775,72.96294121052836,0.2802469491,0.6419139660,0.0778390850,0.2802469867,0.6419140521,0.0778390954,0.0000000376,0.0000000861,0.0000000104,INSIDE,INSIDE
T1 (Default),INSIDE,19.16933203559396,72.95930318777707,0.0159211926,0.3831012519,0.6009775555,0.0159211948,0.3831013032,0.6009776361,0.0000000022,0.0000000513,0.0000000806,INSIDE,INSIDE
T1 (Default),INSIDE,19.178881462174832,72.94997216842513,0.6711042808,0.2381395326,0.0907561867,0.6711043708,0.2381395645,0.0907561988,0.0000000900,0.0000000319,0.0000000121,INSIDE,INSIDE
T1 (Default),INSIDE,19.17415386166768,72.95773427354659,0.2485617255,0.4063958000,0.3450424746,0.2485617588,0.4063958545,0.3450425208,0.0000000333,0.0000000545,0.0000000462,INSIDE,INSIDE
T1 (Default),INSIDE,19.174889901393783,72.94512083608609,0.6706658225,0.0300249359,0.2993092416,0.6706659124,0.0300249399,0.2993092818,0.0000000899,0.0000000040,0.0000000402,INSIDE,INSIDE
