Triangle,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Denominator Time (s),Ground Truth Time (s),Total CKKS Time (s)
T1 (Default),INSIDE,19.166562494750636,72.95220947518894,0.014449,0.004042,0.00169,1e-06,1e-06,0.020182
T1 (Default),INSIDE,19.175341580780376,72.9502358611468,0.024332,0.003041,0.001548,2e-06,4e-06,0.028922
T1 (Default),INSIDE,19.179970332593694,72.95931468091571,0.020514,0.002792,0.001465,0.0,1e-06,0.024772
T1 (Default),INSIDE,19.165776111386922,72.95018402891597,0.031695,0.002855,0.001459,1e-06,3e-06,0.036011
T1 (Default),INSIDE,19.173167293317846,72.96059622809862,0.032969,0.002766,0.001422,1e-06,4e-06,0.037158
T1 (Default),INSIDE,19.179040758755235,72.9691670597394,0.029361,0.002803,0.001419,1e-06,4e-06,0.033584
T1 (Default),INSIDE,19.17930663295885,72.96824030982965,0.0335,0.002761,0.001444,0.0,2e-06,0.037705
T1 (Default),INSIDE,19.17940363121346,72.94391744317697,0.032593,0.002802,0.001416,0.0,2e-06,0.036812
T1 (Default),INSIDE,19.1643044800179,72.9536059695259,0.029682,0.002795,0.001429,1e-06,2e-06,0.033907
T1 (Default),INSIDE,19.169457904038946,72.95002952144056,0.032567,0.002823,0.00142,0.0,3e-06,0.036811
T1 (Default),INSIDE,19.178329120812613,72.96331161877342,0.030951,0.002787,0.001422,1e-06,3e-06,0.035161
T1 (Default),INSIDE,19.168590585568978,72.95772430809086,0.02992,0.002764,0.001413,1e-06,3e-06,0.034098
T1 (Default),INSIDE,19.163311691877922,72.95151245529836,0.030922,0.002906,0.001451,1e-06,3e-06,0.03528
T1 (Default),INSIDE,19.166852935171402,72.95582420274769,0.02914,0.00281,0.001435,0.0,2e-06,0.033385
T1 (Default),INSIDE,19.17856371898615,72.95388453079565,0.029865,0.002751,0.00162,0.0,3e-06,0.034236
T1 (Default),INSIDE,19.178834214118275,72.94467764826612,0.027027,0.002755,0.001461,1e-06,2e-06,0.031244
T1 (Default),INSIDE,19.166008401229956,72.95481868019756,0.031675,0.002779,0.001537,0.0,3e-06,0.035991
T1 (Default),INSIDE,19.178810500759248,72.95279124635518,0.029888,0.002878,0.001457,0.0,3e-06,0.034223
T1 (Default),INSIDE,19.168017581376787,72.956983487474,0.031227,0.002809,0.001417,1e-06,3e-06,0.035455
T1 (Default),INSIDE,19.169209081764482,72.95504091535955,0.028374,0.002807,0.001455,1e-06,2e-06,0.032637
T1 (Default),INSIDE,19.172815438383513,72.96085702268553,0.027716,0.002798,0.001459,1e-06,3e-06,0.031973
T1 (Default),INSIDE,19.17650107602151,72.96052810776838,0.030105,0.002862,0.001445,1e-06,2e-06,0.034412
T1 (Default),INSIDE,19.177229656220227,72.9451553311748,0.020333,0.002788,0.001463,1e-06,2e-06,0.024585
T1 (Default),INSIDE,19.16822992564425,72.95494624489737,0.026215,0.002782,0.001457,1e-06,4e-06,0.030455
T1 (Default),INSIDE,19.1803242365917,72.96502992079299,0.032475,0.002768,0.001436,0.0,4e-06,0.03668
T1 (Default),INSIDE,19.175074783954148,72.96120333396419,0.023997,0.002853,0.001602,1e-06,3e-06,0.028453
T1 (Default),INSIDE,19.16889036528929,72.95096547232644,0.021217,0.002819,0.00242,1e-06,1e-06,0.026457
T1 (Default),INSIDE,19.167339553378152,72.95453430191202,0.030097,0.002773,0.001451,1e-06,3e-06,0.034322
T1 (Default),INSIDE,19.180201585347607,72.95389456864949,0.029167,0.002809,0.001494,1e-06,2e-06,0.033471
T1 (Default),INSIDE,19.178770919007373,72.94559247365665,0.033097,0.002848,0.001452,0.0,3e-06,0.037398
T1 (Default),ON_BOUNDARY,19.180587801659428,72.94872325042394,0.032958,0.002783,0.001465,1e-06,3e-06,0.037206
T1 (Default),ON_BOUNDARY,19.173423308220286,72.94486101085249,0.027101,0.002832,0.001605,0.0,4e-06,0.031539
T1 (Default),ON_BOUNDARY,19.1753327589168,72.96713162875919,0.019074,0.00289,0.001463,1e-06,1e-06,0.023428
T1 (Default),ON_BOUNDARY,19.177092294465172,72.96928553648043,0.022664,0.002768,0.001468,1e-06,3e-06,0.026901
T1 (Default),ON_BOUNDARY,19.16913310746493,72.95957213866492,0.031783,0.002787,0.00144,0.0,3e-06,0.036011
T1 (Default),ON_BOUNDARY,19.165237152113278,72.95482463406043,0.022526,0.002811,0.001453,1e-06,3e-06,0.026791
T1 (Default),ON_BOUNDARY,19.180599085615775,72.94990056244829,0.031731,0.002825,0.001453,0.0,3e-06,0.036009
T1 (Default),ON_BOUNDARY,19.180834270440723,72.97280476241588,0.029545,0.002842,0.001455,0.0,4e-06,0.033843
