Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T1 (Default),50,INSIDE,19.166542741956707,72.95378757357558,0.017724,0.003473,0.001646,0.022844
T1 (Default),50,OUTSIDE,19.162565561153396,72.95259801291198,0.029373,0.002734,0.001439,0.033547
T1 (Default),50,OUTSIDE,19.174632823740026,72.97148961062493,0.02438,0.002735,0.001456,0.028571
T1 (Default),50,OUTSIDE,19.162528120286915,72.94523646917288,0.028888,0.002759,0.001426,0.033073
T1 (Default),50,OUTSIDE,19.166404893321403,72.94489497491521,0.029885,0.002814,0.001449,0.034149
T1 (Default),50,OUTSIDE,19.17765911678244,72.97966443113813,0.026725,0.002805,0.001468,0.030998
T1 (Default),50,ON_BOUNDARY,19.178512357423546,72.94239127897131,0.031625,0.002926,0.001451,0.036003
T1 (Default),50,ON_BOUNDARY,19.177857565294506,72.97019766089736,0.027942,0.00279,0.001438,0.032171
T1 (Default),50,OUTSIDE,19.160693229043645,72.97432275672485,0.033145,0.002759,0.001489,0.037393
T1 (Default),50,INSIDE,19.167505223808394,72.9532349204401,0.026072,0.00277,0.001487,0.03033
T1 (Default),50,OUTSIDE,19.1633411062108,72.93673304599088,0.032556,0.002873,0.001554,0.036984
T1 (Default),50,OUTSIDE,19.15608973677968,72.981748891155,0.029907,0.002853,0.00145,0.03421
T1 (Default),50,INSIDE,19.17267838711587,72.95742923322913,0.027088,0.00276,0.001477,0.031325
T1 (Default),50,ON_BOUNDARY,19.17655507653116,72.96861812532583,0.028059,0.002789,0.001433,0.032282
T1 (Default),50,INSIDE,19.173698846640672,72.94781006536347,0.033618,0.002841,0.001476,0.037935
T1 (Default),50,ON_BOUNDARY,19.180569030951634,72.94678422749561,0.028246,0.002792,0.001435,0.032473
T1 (Default),50,ON_BOUNDARY,19.174359881140887,72.96592781647017,0.030662,0.002758,0.001461,0.034882
T1 (Default),50,ON_BOUNDARY,19.180707587674657,72.9601559069351,0.029577,0.002717,0.001438,0.033734
T1 (Default),50,OUTSIDE,19.15954866950806,72.97561520416426,0.032045,0.002774,0.001464,0.036283
T1 (Default),50,ON_BOUNDARY,19.168705950289706,72.95904220079964,0.031411,0.002723,0.001431,0.035566
T1 (Default),50,OUTSIDE,19.186605232774827,72.94590659430764,0.029556,0.002731,0.001436,0.033723
T1 (Default),50,OUTSIDE,19.169361981143766,72.9823702457642,0.029332,0.002776,0.001417,0.033526
T1 (Default),50,ON_BOUNDARY,19.173566060202592,72.96497339883437,0.030906,0.002825,0.00147,0.035202
T1 (Default),50,INSIDE,19.17282384410039,72.95184281075969,0.031139,0.002838,0.001482,0.035459
T1 (Default),50,OUTSIDE,19.165187535295864,72.9423744871054,0.027981,0.00279,0.001455,0.032228
T1 (Default),50,OUTSIDE,19.16396896253069,72.93504345304987,0.030514,0.002882,0.001453,0.034849
T1 (Default),50,OUTSIDE,19.16014420236927,72.9390415764528,0.031852,0.00275,0.001436,0.036039
T1 (Default),50,INSIDE,19.17472897037032,72.95152333473163,0.027931,0.002747,0.001479,0.032157
T1 (Default),50,ON_BOUNDARY,19.16964186859635,72.96018387172387,0.029711,0.002789,0.001439,0.033939
