Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),50,INSIDE,19.185236668005597,72.95294749529188,0.014313,0.002857,0.001528,0.018699
T3 (Scaled ×2.0),50,OUTSIDE,19.151086523167905,72.97005526435672,0.025562,0.002805,0.001523,0.02989
T3 (Scaled ×2.0),50,OUTSIDE,19.154003060991748,72.9628177599682,0.030816,0.002868,0.001487,0.035171
T3 (Scaled ×2.0),50,OUTSIDE,19.150297988348314,72.94468113291457,0.030439,0.002828,0.001468,0.034736
T3 (Scaled ×2.0),50,INSIDE,19.17018276191415,72.95920188025937,0.030144,0.002798,0.001526,0.034469
T3 (Scaled ×2.0),50,OUTSIDE,19.17768453242717,73.00108469670066,0.016867,0.002784,0.00163,0.021283
T3 (Scaled ×2.0),50,INSIDE,19.178804709153383,72.95941603394725,0.026494,0.002859,0.001477,0.030831
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187201312045765,72.97948654020097,0.029691,0.002801,0.001456,0.033949
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187175664781027,72.9778351338932,0.030798,0.002817,0.00147,0.035086
T3 (Scaled ×2.0),50,OUTSIDE,19.186897027090463,72.93819136869159,0.030361,0.002802,0.001479,0.034643
T3 (Scaled ×2.0),50,OUTSIDE,19.197247347002317,72.98845732411877,0.027563,0.002828,0.001476,0.031867
T3 (Scaled ×2.0),50,INSIDE,19.15667479232942,72.94329668273662,0.030907,0.002821,0.001481,0.03521
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.18704757761456,72.96515718811321,0.030767,0.002821,0.00149,0.035078
T3 (Scaled ×2.0),50,OUTSIDE,19.16969089759455,72.97673951115219,0.031389,0.00279,0.00147,0.03565
T3 (Scaled ×2.0),50,OUTSIDE,19.14643281056722,72.92354662337236,0.03182,0.002836,0.001469,0.036126
T3 (Scaled ×2.0),50,INSIDE,19.173119446367423,72.94755696773746,0.031177,0.002813,0.001477,0.035468
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187091087656384,72.96945795167579,0.032727,0.002791,0.001467,0.036985
T3 (Scaled ×2.0),50,INSIDE,19.171721632641578,72.95042175076367,0.027915,0.00277,0.00149,0.032176
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.186956843194412,72.95626459627803,0.028435,0.002923,0.001496,0.032855
T3 (Scaled ×2.0),50,OUTSIDE,19.15160716946923,72.96028613608867,0.029402,0.002973,0.001489,0.033865
T3 (Scaled ×2.0),50,INSIDE,19.15692355924167,72.94519938143604,0.032225,0.002887,0.001471,0.036583
T3 (Scaled ×2.0),50,INSIDE,19.1813645596721,72.97797891163995,0.029654,0.00293,0.001471,0.034055
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187191938286915,72.97901034989866,0.029472,0.002777,0.001503,0.033753
T3 (Scaled ×2.0),50,OUTSIDE,19.154952402473075,72.92198968444808,0.032171,0.002844,0.001504,0.03652
T3 (Scaled ×2.0),50,OUTSIDE,19.195918179493837,72.93472881650753,0.029425,0.002785,0.001481,0.033691
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.18467560057904,72.92855264698716,0.032598,0.002766,0.001469,0.036834
T3 (Scaled ×2.0),50,INSIDE,19.17363090154277,72.96371857572748,0.03253,0.002816,0.00147,0.036817
T3 (Scaled ×2.0),50,INSIDE,19.1766615926946,72.97860012390123,0.031945,0.002808,0.001455,0.036209
T3 (Scaled ×2.0),50,OUTSIDE,19.14739268368817,72.92849386160299,0.026842,0.002774,0.001499,0.031115
T3 (Scaled ×2.0),50,OUTSIDE,19.18980528395156,72.93248935980694,0.032664,0.002814,0.001632,0.03711
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187049863243573,72.96484644526643,0.031691,0.002767,0.001468,0.035927
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.159639970450495,72.94064493866205,0.034051,0.002884,0.001496,0.038432
T3 (Scaled ×2.0),50,ON_BOUNDARY,19.187138195203246,72.97392964804091,0.030771,0.002798,0.001464,0.035034
T3 (Scaled ×2.0),50,OUTSIDE,19.1753811514,72.9213430695816,0.029729,0.002808,0.001464,0.034002
T3 (Scaled ×2.0),50,OUTSIDE,19.148519411257364,72.98889183484964,0.033167,0.002789,0.001513,0.03747
